DATE,Rainfall Rate,Rainfall level,Water level,Class,elevation,Slope,Distance from River
12/01/2024 03:00,0,LIGHT,4377.7875,HIGH,7.5,1.9680599,149.36
12/01/2024 04:00,14.44067797,HEAVY,4373.9875,HIGH,5.9,1.18295407,205.95
12/01/2024 05:00,0,LIGHT,4365.15,HIGH,6,3.6637044,214.4
12/01/2024 06:00,0,LIGHT,4364.491667,HIGH,6,6.00178337,224.37
12/01/2024 07:00,0,LIGHT,4365.216667,HIGH,6.3,2.38750553,268.23
12/01/2024 08:00,0,LIGHT,4388.929167,HIGH,6.4,2.10017395,275.73
12/01/2024 09:00,0,LIGHT,4413.7125,HIGH,6.2,3.99894142,267.9
12/01/2024 10:00,0,LIGHT,4422.866667,HIGH,5.1,4.40595388,32.114
12/01/2024 11:00,0,LIGHT,4429.883817,HIGH,6.4,2.31902623,45.56
12/01/2024 12:00,0,LIGHT,4441.866667,HIGH,9,3.228374,237.7
12/01/2024 13:00,0,LIGHT,4438.541667,HIGH,6.3,2.07442665,325.95
12/01/2024 14:00,0,LIGHT,4434.808333,HIGH,5.9,1.67271197,333.9
12/01/2024 15:00,0,LIGHT,4421.8375,HIGH,4,2.38750553,435.6
12/01/2024 16:00,0,LIGHT,4407.870833,HIGH,7,1.99518502,458.4
12/01/2024 17:00,0,LIGHT,4405.745833,HIGH,10.8,2.20014167,491.8
12/01/2024 18:00,0,LIGHT,4409.15,HIGH,9.3,2.64366388,216.95
12/01/2024 19:00,0,LIGHT,4392.8875,HIGH,8.2,3.60476565,180.24
12/01/2024 20:00,87.05084746,TORRENTIAL,4394.216667,HIGH,5.9,2.10017395,81.68
12/01/2024 21:00,0,LIGHT,4394.470833,HIGH,5.1,1.35270059,55.27
12/01/2024 22:00,0,LIGHT,4417.241667,HIGH,2.5,1.39190221,14
12/01/2024 23:00,0,LIGHT,4636.65,HIGH,2.2,1.85558569,39.27
13/01/2024 00:00,0,LIGHT,4782.1375,HIGH,2,0.6562494,69.3
13/01/2024 01:00,0,LIGHT,4730.854167,HIGH,1.8,0.6562494,106.75
13/01/2024 02:00,0,LIGHT,4518.266667,HIGH,3.2,1.46716166,131.6
13/01/2024 03:00,0,LIGHT,4381.3875,HIGH,3.8,2.20014167,152.05
13/01/2024 04:00,0,LIGHT,4357.720833,HIGH,4.4,0.73370111,167.96
13/01/2024 05:00,0,LIGHT,4356.179167,HIGH,5,0.32813546,207.46
13/01/2024 06:00,0,LIGHT,4357.495833,HIGH,5,1.46716166,218.15
13/01/2024 07:00,0,LIGHT,4355.270833,HIGH,5,2.07442665,216.35
13/01/2024 08:00,0,LIGHT,4359.170833,HIGH,4.5,1.35270059,56.45
13/01/2024 09:00,0,LIGHT,4372.529167,HIGH,5.7,0.32813546,38.16
13/01/2024 10:00,0.203389831,LIGHT,4385.220833,HIGH,7.9,2.10017395,56.62
13/01/2024 11:00,0.203389831,LIGHT,4391.816667,HIGH,5.8,1.67271197,136.4
13/01/2024 12:00,0,LIGHT,4402.883333,HIGH,5.6,2.10017395,218.4
13/01/2024 13:00,0,LIGHT,4401.925,HIGH,3.9,3.228374,272.2
13/01/2024 14:00,0,LIGHT,4404.75,HIGH,2.8,3.61959124,319.2
13/01/2024 15:00,0,LIGHT,4401.983333,HIGH,3.8,1.31232667,347.5
13/01/2024 16:00,0,LIGHT,4392.3375,HIGH,4.5,6.53430367,380.15
13/01/2024 17:00,0,LIGHT,4386.7875,HIGH,1.4,4.68774796,428.2
13/01/2024 18:00,0,LIGHT,4387.138075,HIGH,1.3,2.96876574,441.6
13/01/2024 19:00,4.06779661,MODERATE,4379.301255,HIGH,1.7,4.39381409,459.1
13/01/2024 20:00,0,LIGHT,4386,HIGH,2.9,1.76652288,474.5
13/01/2024 21:00,0,LIGHT,4388.0875,HIGH,5.8,0.46404853,515.2
13/01/2024 22:00,51.87096774,TORRENTIAL,4389.384,HIGH,5.6,0.92803621,507.5
13/01/2024 23:00,0,LIGHT,4571.833333,HIGH,3.2,1.67271197,471.5
14/01/2024 00:00,0,LIGHT,4697.1375,HIGH,3.5,1.67271197,390.2
14/01/2024 01:00,0,LIGHT,4799.091667,HIGH,5.2,1.91265225,344.6
14/01/2024 02:00,0,LIGHT,4697.55,HIGH,5.4,1.64024699,290.07
