Rainfall,Water Level,Elevation,Slope,Distance from River,Flood Status
19.93220339,4399.3875,5.2,0.46404853,167.7,1
19.93220339,4399.3875,5.3,1.03755331,221.55,1
19.93220339,4399.3875,5.9,2.70389485,244.56,1
19.93220339,4399.3875,6.4,1.18295407,215.5,2
19.93220339,4399.3875,6.5,1.64024699,211.35,2
19.93220339,4399.3875,4.9,1.76652288,132.54,2
19.93220339,4399.3875,4.7,1.64024699,52.81,2
19.93220339,4399.3875,9.3,0.32813546,14.016,2
19.93220339,4399.3875,6.7,0.98432028,99.1,2
19.93220339,4399.3875,5.8,1.39190221,223.1,1
19.93220339,4399.3875,2.2,2.31902623,335.6,2
19.93220339,4399.3875,4.5,3.93148661,384.8,1
19.93220339,4399.3875,4.9,3.27780986,394.7,1
19.93220339,4399.3875,3.2,1.91265225,462.0,1
19.93220339,4399.3875,3.3,1.91265225,473.8,1
19.93220339,4399.3875,0.2,1.85558569,553.8,1
19.93220339,4399.3875,-5.6,2.20014167,576.9,1
19.93220339,4399.3875,3.4,3.10994267,484.3,1
19.93220339,4399.3875,0.0,3.09265065,356.4,1
19.93220339,4399.3875,3.2,1.99518502,269.3,2
19.93220339,4399.3875,6.9,2.9324019,172.88,2
19.93220339,4399.3875,6.2,3.42179823,153.95,2
19.93220339,4399.3875,5.4,4.25795174,42.31,1
19.93220339,4399.3875,3.3,4.27048397,15.392,2
19.93220339,4399.3875,3.4,3.02248573,26.11,2
19.93220339,4399.3875,5.6,0.73370111,63.94,1
19.93220339,4399.3875,9.1,2.78216338,111.46,2
19.93220339,4399.3875,10.5,5.4448719,163.25,2
19.93220339,4399.3875,9.8,4.39381409,171.8,2
19.93220339,4399.3875,4.7,0.73370111,225.1,2
19.93220339,4399.3875,2.7,2.38750553,246.6,2
19.93220339,4399.3875,2.5,2.10017395,252.27,2
19.93220339,4399.3875,3.2,2.70389485,284.0,2
19.93220339,4399.3875,4.0,3.02248573,298.35,2
19.93220339,4399.3875,4.6,3.228374,308.6,1
19.93220339,4399.3875,4.0,3.94507098,301.56,1
19.93220339,4399.3875,4.7,4.76674843,240.96,2
19.93220339,4399.3875,5.1,2.96876574,213.15,1
19.93220339,4399.3875,5.0,1.03755331,183.93,2
19.93220339,4399.3875,4.1,0.92803621,131.33,2
19.93220339,4399.3875,3.4,1.18295407,121.23,2
19.93220339,4399.3875,1.2,1.67271197,62.88,2
19.93220339,4399.3875,9.3,2.36490035,3.132,2
19.93220339,4399.3875,9.0,3.10994267,68.55,2
19.93220339,4399.3875,8.9,3.228374,78.53,2
19.93220339,4399.3875,6.0,4.30785942,180.32,2
19.93220339,4399.3875,4.3,5.89472437,265.0,2
19.93220339,4399.3875,4.4,6.28653145,346.25,1
19.93220339,4399.3875,4.9,6.86567736,360.96,1
19.93220339,4399.3875,0.8,5.59894562,436.9,1
19.93220339,4399.3875,1.0,3.09265065,451.8,1
19.93220339,4399.3875,2.8,1.39190221,467.2,1
19.93220339,4399.3875,1.1,2.56114078,416.2,1
19.93220339,4399.3875,2.5,5.17422199,319.5,1
19.93220339,4399.3875,6.0,1.85558569,151.8,2
19.93220339,4399.3875,6.3,3.70728707,130.17,2
19.93220339,4399.3875,6.7,1.03755331,93.42,2
19.93220339,4399.3875,7.4,1.46716166,48.59,2
19.93220339,4399.3875,6.4,1.03755331,9.88,2
19.93220339,4399.3875,3.8,1.46716166,18.413,2
19.93220339,4399.3875,3.3,1.67271197,43.43,2
19.93220339,4399.3875,3.6,1.64024699,49.9,2
19.93220339,4399.3875,6.4,1.31232667,102.11,2
19.93220339,4399.3875,8.2,3.24493694,126.7,2
19.93220339,4399.3875,8.2,3.29412222,174.73,2
19.93220339,4399.3875,2.3,1.91265225,251.8,2
19.93220339,4399.3875,3.1,0.73370111,274.07,2
